condition,task_id,rep,phase,n,profile,model,toolsets,goose_exit,timed_out,budget_killed,duration_s,agent_active_s,stop_cause,proxy_n_inference_calls,proxy_n_tool_calls,proxy_input_tokens,proxy_output_tokens,proxy_cache_read_input_tokens,proxy_cache_creation_input_tokens,proxy_tool_result_tokens,aux_calls,aux_tokens,unparsed_calls,prefix_tokens,prefix_n_tools,prefix_note,first_call_cc,subsequent_cc,cell,payload_exact,http_errors,completed,cost_usd,tool_results_recorded,payload_loss,payload_complete,payload_note
A1,T1,1,1,,,claude-haiku-4-5-20251001,all,0,False,False,25.6,10.7,,4,10,213,1749,36026,56773,26970,0,0,0,18471,54,,18469,38304,A1,True,0,True,0.08352684999999999,10,0,True,
A1,T1,2,1,,,claude-haiku-4-5-20251001,all,0,False,False,20.6,10.2,,4,10,213,1749,51937,40862,26970,0,0,0,18471,54,,2558,38304,A1,True,0,True,0.0652292,10,0,True,
A1,T1,3,1,,,claude-haiku-4-5-20251001,all,0,False,False,20.6,11.3,,4,10,213,1753,51937,40873,26970,0,0,0,18471,54,,2558,38315,A1,True,0,True,0.06526295,10,0,True,
A1,T2,1,1,,,claude-haiku-4-5-20251001,all,0,False,False,5.5,2.2,,3,1,174,217,33924,3504,334,0,0,0,18438,54,,2525,979,A1,True,0,True,0.0090314,1,0,True,
A1,T2,2,1,,,claude-haiku-4-5-20251001,all,0,False,False,5.5,2.5,,3,1,174,217,33924,3504,334,0,0,0,18438,54,,2525,979,A1,True,0,True,0.0090314,1,0,True,
A1,T2,3,1,,,claude-haiku-4-5-20251001,all,0,False,False,5.6,2.5,,3,1,174,217,33924,3504,334,0,0,0,18438,54,,2525,979,A1,True,0,True,0.0090314,1,0,True,
A2,T1,1,1,,,claude-haiku-4-5-20251001,"repos,issues,pull_requests",0,False,False,20.6,9.5,,4,10,213,1726,16804,47173,26970,0,0,0,8860,22,,8858,38315,A2,True,0,True,0.06948965,10,0,True,
A2,T1,2,1,,,claude-haiku-4-5-20251001,"repos,issues,pull_requests",0,False,False,20.6,9.7,,4,10,213,1751,24560,39417,26970,0,0,0,8860,22,,1102,38315,A2,True,0,True,0.060695250000000006,10,0,True,
A2,T1,3,1,,,claude-haiku-4-5-20251001,"repos,issues,pull_requests",0,False,False,20.7,10.6,,4,10,213,1726,24560,39417,26970,0,0,0,8860,22,,1102,38315,A2,True,0,True,0.060570250000000006,10,0,True,
A2,T2,1,1,,,claude-haiku-4-5-20251001,"repos,issues,pull_requests",0,False,False,5.6,2.3,,3,1,174,209,16158,2048,334,0,0,0,8827,22,,1069,979,A2,True,0,True,0.0053948,1,0,True,
A2,T2,2,1,,,claude-haiku-4-5-20251001,"repos,issues,pull_requests",0,False,False,5.5,1.9,,3,1,174,204,16158,2048,334,0,0,0,8827,22,,1069,979,A2,True,0,True,0.005369800000000001,1,0,True,
A2,T2,3,1,,,claude-haiku-4-5-20251001,"repos,issues,pull_requests",0,False,False,5.7,1.9,,3,1,174,204,16158,2048,334,0,0,0,8827,22,,1069,979,A2,True,0,True,0.005369800000000001,1,0,True,
B,T1,1,1,,,claude-haiku-4-5-20251001,,0,False,False,10.6,4.4,,3,1,4373,899,0,0,419,0,0,0,1609,4,,0,0,B,True,0,True,0.008868000000000001,1,0,True,
B,T1,2,1,,,claude-haiku-4-5-20251001,,0,False,False,10.5,2.7,,3,1,4373,899,0,0,419,0,0,0,1609,4,,0,0,B,True,0,True,0.008868000000000001,1,0,True,
B,T1,3,1,,,claude-haiku-4-5-20251001,,0,False,False,10.6,3.0,,3,1,4373,900,0,0,419,0,0,0,1609,4,,0,0,B,True,0,True,0.008872999999999999,1,0,True,
B,T2,1,1,,,claude-haiku-4-5-20251001,,0,False,False,5.6,1.8,,3,1,3543,216,0,0,47,0,0,0,1576,4,,0,0,B,True,0,True,0.004623,1,0,True,
B,T2,2,1,,,claude-haiku-4-5-20251001,,0,False,False,5.5,2.4,,3,1,3543,216,0,0,47,0,0,0,1576,4,,0,0,B,True,0,True,0.004623,1,0,True,
B,T2,3,1,,,claude-haiku-4-5-20251001,,0,False,False,5.7,1.8,,3,1,3543,216,0,0,47,0,0,0,1576,4,,0,0,B,True,0,True,0.004623,1,0,True,
B2,T1,1,1,,,claude-haiku-4-5-20251001,,0,False,False,10.7,3.9,,3,1,4470,902,0,0,419,0,0,0,1656,3,,0,0,B2,True,0,True,0.00898,1,0,True,
B2,T1,2,1,,,claude-haiku-4-5-20251001,,0,False,False,10.6,3.8,,3,1,4470,902,0,0,419,0,0,0,1656,3,,0,0,B2,True,0,True,0.00898,1,0,True,
B2,T1,3,1,,,claude-haiku-4-5-20251001,,0,False,False,10.6,4.2,,3,1,4470,902,0,0,419,0,0,0,1656,3,,0,0,B2,True,0,True,0.00898,1,0,True,
B2,T2,1,1,,,claude-haiku-4-5-20251001,,0,False,False,5.6,2.1,,3,1,3641,220,0,0,47,0,0,0,1623,3,,0,0,B2,True,0,True,0.004741,1,0,True,
B2,T2,2,1,,,claude-haiku-4-5-20251001,,0,False,False,5.6,2.2,,3,1,3641,226,0,0,47,0,0,0,1623,3,,0,0,B2,True,0,True,0.004771,1,0,True,
B2,T2,3,1,,,claude-haiku-4-5-20251001,,0,False,False,5.7,2.2,,3,1,3641,226,0,0,47,0,0,0,1623,3,,0,0,B2,True,0,True,0.004771,1,0,True,
