condition,task_id,rep,phase,n,profile,model,model_configured,toolsets,goose_exit,timed_out,budget_killed,started,duration_s,agent_active_s,stop_cause,proxy_n_inference_calls,proxy_n_tool_calls,proxy_input_tokens,proxy_output_tokens,proxy_cache_read_input_tokens,proxy_cache_creation_input_tokens,proxy_tool_result_tokens,aux_calls,aux_tokens,unparsed_calls,prefix_tokens,prefix_n_tools,prefix_note,first_call_cc,subsequent_cc,cell,payload_exact,http_errors,completed,cost_usd,tool_results_recorded,payload_loss,payload_complete,payload_note,answer_f1,answer_precision,answer_recall,answer_coverage,graded_items,correct_items,missing_keys,unparsed_values,tool_errors,tool_error_tools,answer_grounded,grounded_facts,needs_review,grade_notes,pass_through_tokens,pass_through_fraction,pass_through_tokens_ex_discovery,pass_through_fraction_ex_discovery,forced_serial_depth,discovery_depth
M-G1,M1@1,1,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377839.226984,10.7,6.9,,6,4,5835,391,0,9284,2374,0,0,0,1514,3,,4555,4729,M-G1,True,0,True,0.019395000000000003,4,0,True,,1.0,1.0,1.0,1.0,2,2,0,0,0,,True,3,False,,2320,0.9773,0,0.0,1,2
M-G1,M1@1,2,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377849.895469,10.5,7.0,,6,4,5835,399,0,9284,2374,0,0,0,1514,3,,4555,4729,M-G1,True,0,True,0.019435,4,0,True,,1.0,1.0,1.0,1.0,2,2,0,0,0,,True,3,False,,2320,0.9773,0,0.0,1,2
M-G1,M1@1,3,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377860.4466848,15.7,11.2,,9,7,8413,632,0,32117,6043,0,0,0,1514,3,,6728,25389,M-G1,True,0,True,0.05171925,7,0,True,,1.0,1.0,1.0,1.0,2,2,0,0,0,,True,3,False,,5986,0.9905,123,0.0204,1,2
M-G1,M1@20,1,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377928.096993,15.7,6.9,,5,3,3864,1060,0,15612,5255,0,0,0,1593,3,,7335,8277,M-G1,True,0,True,0.028679000000000003,3,0,True,,1.0,1.0,1.0,1.0,40,40,0,0,0,,True,59,False,,4797,0.9129,109,0.0207,1,1
M-G1,M1@20,2,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377943.772321,15.6,8.4,,5,4,3865,1108,0,15816,5279,0,0,0,1593,3,,7434,8382,M-G1,True,0,True,0.029175,4,0,True,,1.0,1.0,1.0,1.0,40,40,0,0,0,,True,59,False,,4821,0.9132,109,0.0206,1,1
M-G1,M1@20,3,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377959.39862,15.6,7.9,,5,4,3865,1108,0,15816,5279,0,0,0,1593,3,,7434,8382,M-G1,True,0,True,0.029175,4,0,True,,1.0,1.0,1.0,1.0,40,40,0,0,0,,True,59,False,,4821,0.9132,109,0.0206,1,1
M-G1,M1@5,1,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377876.174711,20.6,16.0,,11,9,5983,1106,0,35751,2545,0,0,0,1531,3,,4620,31131,M-G1,True,0,True,0.056201749999999995,9,0,True,,1.0,1.0,1.0,1.0,10,10,0,0,0,,True,15,False,,2397,0.942,0,0.0,1,2
M-G1,M1@5,2,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377896.803673,20.6,13.1,,9,7,5973,927,0,34271,7156,0,0,0,1531,3,,4623,29648,M-G1,True,0,True,0.05344675,7,0,True,,1.0,1.0,1.0,1.0,10,10,0,0,0,,True,15,False,,6981,0.9755,2263,0.3162,1,2
M-G1,M1@5,3,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377917.432906,10.6,5.9,,5,3,3441,490,0,14416,4722,0,0,0,1531,3,,7037,7379,M-G1,True,0,True,0.023911,3,0,True,,1.0,1.0,1.0,1.0,10,10,0,0,0,,True,15,False,,4606,0.9755,0,0.0,1,1
M-G1,M1@50,1,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377975.020566,20.7,9.5,,5,3,4395,2129,0,17344,6153,0,0,0,1718,3,,7616,9728,M-G1,True,0,True,0.03672,3,0,True,,1.0,1.0,1.0,1.0,100,100,0,0,0,,True,144,False,,5007,0.8137,117,0.019,1,1
M-G1,M1@50,2,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377995.709595,25.6,10.8,,5,3,4396,2137,0,17353,6153,0,0,0,1718,3,,7617,9736,M-G1,True,0,True,0.03677225,3,0,True,,1.0,1.0,1.0,1.0,100,100,0,0,0,,True,144,False,,5007,0.8137,117,0.019,1,1
M-G1,M1@50,3,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378021.346646,25.7,10.0,,5,3,4396,2137,0,17353,6153,0,0,0,1718,3,,7617,9736,M-G1,True,0,True,0.03677225,3,0,True,,1.0,1.0,1.0,1.0,100,100,0,0,0,,True,144,False,,5007,0.8137,117,0.019,1,1
M-G1,M2@1,1,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378047.03694,20.6,13.3,,8,8,6511,952,0,35723,6455,0,0,0,1526,3,,7071,28652,M-G1,True,0,True,0.055924749999999995,8,0,True,,1.0,1.0,1.0,,6,6,0,0,0,,True,3,False,"metric is correctness, not F1 over a set",6190,0.9589,184,0.0285,1,4
M-G1,M2@1,2,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378067.6531022,15.6,12.3,,8,6,4248,874,0,31120,4536,0,0,0,1526,3,,4560,26560,M-G1,True,0,True,0.047518,6,0,True,,1.0,1.0,1.0,,6,6,0,0,0,,True,3,False,"metric is correctness, not F1 over a set",4298,0.9476,277,0.0611,1,4
M-G1,M2@1,3,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378083.266187,15.6,11.9,,7,7,6208,861,0,26974,6114,0,0,0,1526,3,,8511,18463,M-G1,True,0,True,0.0442305,7,0,True,,1.0,1.0,1.0,,6,6,0,0,0,,True,3,False,"metric is correctness, not F1 over a set",5929,0.9697,189,0.0309,1,2
M-G1,M3@20,1,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378165.7391272,25.6,9.7,,6,5,3803,2114,0,27045,8456,0,0,0,1604,3,,7242,19803,M-G1,True,0,True,0.04817925000000001,5,0,True,,1.0,1.0,1.0,1.0,20,9,0,0,0,,True,20,False,,7203,0.8518,1220,0.1443,1,2
M-G1,M3@20,2,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378191.380785,20.8,8.7,,6,5,3803,2094,0,27044,8456,0,0,0,1604,3,,7242,19802,M-G1,True,0,True,0.048078,5,0,True,,1.0,1.0,1.0,1.0,20,9,0,0,0,,True,20,False,,7210,0.8526,1226,0.145,1,2
M-G1,M3@20,3,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378212.2143831,20.7,8.5,,6,5,3803,2017,0,27032,8456,0,0,0,1604,3,,7242,19790,M-G1,True,0,True,0.047678,5,0,True,,1.0,1.0,1.0,1.0,20,9,0,0,0,,True,20,False,,7225,0.8544,1241,0.1468,1,2
M-G1,M3@5,1,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378098.88959,25.6,15.0,,7,13,4695,2118,0,36819,6489,0,0,0,1529,3,,8288,28531,M-G1,True,0,True,0.06130875,13,0,True,,1.0,1.0,1.0,1.0,5,2,0,0,0,,True,5,False,,6126,0.9441,959,0.1478,1,2
M-G1,M3@5,2,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378124.543911,20.6,9.9,,6,8,4690,1505,0,27173,6408,0,0,0,1529,3,,8288,18885,M-G1,True,0,True,0.04618125000000001,8,0,True,,1.0,1.0,1.0,1.0,5,2,0,0,0,,True,5,False,,6035,0.9418,893,0.1394,1,2
M-G1,M3@5,3,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378145.169455,20.6,13.2,,6,12,4690,1976,0,27789,6424,0,0,0,1529,3,,8288,19501,M-G1,True,0,True,0.04930625,12,0,True,,1.0,1.0,1.0,1.0,5,2,0,0,0,,True,5,False,,6061,0.9435,896,0.1394,1,2
M-G1,M3@50,1,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378232.8908858,45.7,12.7,,7,7,5247,4193,0,45958,14650,0,0,0,1754,3,,8373,37585,M-G1,True,0,True,0.0836595,7,0,True,,0.9787,0.9583,1.0,1.0,50,23,0,0,0,,True,50,False,,11083,0.7565,3365,0.2297,1,3
M-G1,M3@50,2,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378278.556993,30.7,10.7,,7,7,5247,4048,0,45958,14650,0,0,0,1754,3,,8373,37585,M-G1,True,0,True,0.0829345,7,0,True,,0.9787,0.9583,1.0,1.0,50,23,0,0,0,,True,50,False,,11125,0.7594,3408,0.2326,1,3
M-G1,M3@50,3,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378309.283953,20.6,14.6,,7,7,5374,1413,0,46457,14752,0,0,0,1754,3,,8500,37957,M-G1,True,0,True,0.07051025,7,0,True,,0.7407,0.6452,0.8696,1.0,50,20,0,0,0,,True,50,False,,13382,0.9071,5570,0.3776,1,3
