cell,condition,profile,task_id,n,n_reps,inference calls mean,inference calls sd,tool calls mean,tool calls sd,input tok mean,input tok sd,output tok mean,output tok sd,cache-read tok mean,cache-read tok sd,cache-create tok mean,cache-create tok sd,tool-payload tok mean,tool-payload tok sd
M-R1-fat,M-R1,fat,M1@1,1,3,3,0.0,1,0.0,4014,0.0,118,0.0,0,0.0,4942,0.0,867,0.0
M-R1-fat,M-R1,fat,M1@5,5,3,3,0.0,1,0.0,4048,0.0,238,0.0,0,0.0,8697,0.0,4007,0.0
M-R1-fat,M-R1,fat,M1@20,20,3,3,0.0,1,0.0,4172,0.0,766.67,5.51,0,0.0,22870,0.0,15832,0.0
M-R1-fat,M-R1,fat,M1@50,50,3,3,0.0,1,0.0,4422,0.0,2003.33,13.28,0,0.0,51250.33,27.14,39600,8.66
M-R1-fat,M-R1,fat,M2@1,1,3,4.67,1.15,5,0.0,4046.33,5.77,663.33,51.16,0,0.0,17748.33,6733.99,3537,0.0
M-R1-fat,M-R1,fat,M3@5,5,3,5.33,0.58,25,0.0,4055.67,2.89,2197.67,295.45,0,0.0,56597,8289.94,17536.33,6.03
M-R1-fat,M-R1,fat,M3@20,20,3,5.33,0.58,10.33,10.97,4205.67,2.89,3411.33,761.46,0,0.0,160100.67,28963.64,60579,1128.43
M-R1-fat,M-R1,fat,M3@50,50,3,6,0.0,4,0.0,4509,0.0,5225.67,232.98,0,0.0,415849.33,56.58,139506.67,0.58
M-R1-fat,M-R1,fat,M4@20,20,3,4,0.0,20,0.0,3973,0.0,1118.33,0.58,0,0.0,50980.67,5.77,19651.67,5.77
M-R1-fat,M-R1,fat,M4@50,50,3,4,0.0,46,0.0,3973,0.0,2435,62.98,0,0.0,114081,4.36,48241,4.36
M-R1-fat,M-R1,fat,M4@103,103,1,26,0.0,56,0.0,8109,0.0,4234,0.0,0,0.0,387353,0.0,14485,0.0
M-R1-lean,M-R1,lean,M1@1,1,3,3,0.0,1,0.0,4014,0.0,118.67,1.15,0,0.0,4941,0.0,866,0.0
M-R1-lean,M-R1,lean,M1@5,5,3,3,0.0,1,0.0,4048,0.0,250,20.78,0,0.0,7347,2338.27,2861.33,1984.35
M-R1-lean,M-R1,lean,M1@20,20,3,3,0.0,1,0.0,4172,0.0,730.33,0.58,0,0.0,6427,0.0,1979,0.0
M-R1-lean,M-R1,lean,M1@50,50,3,3,0.0,1,0.0,4422,0.0,1631.33,24.83,0,0.0,10003,0.0,4817,0.0
M-R1-lean,M-R1,lean,M2@1,1,3,4,0.0,5,0.0,4043,0.0,610.33,41.77,0,0.0,13380.33,777.98,3132,699.75
M-R1-lean,M-R1,lean,M3@5,5,3,6,0.0,25,0.0,4059,0.0,2033.67,3.21,0,0.0,65482.33,3.06,17535.33,2.89
M-R1-lean,M-R1,lean,M3@20,20,3,15.33,16.17,60.33,0.58,4255.67,80.83,5910.67,605.76,0,0.0,349271.67,497464.33,21832.33,2137.06
M-R1-lean,M-R1,lean,M3@50,50,3,6.33,0.58,4.33,0.58,4510.67,2.89,6011.33,752.02,0,0.0,353581.33,244532.11,104938.33,59945.72
M-R1-lean,M-R1,lean,M4@20,20,3,4,0.0,20,0.0,3973,0.0,1129,15.72,0,0.0,50977.33,5.77,19648.33,5.77
M-R1-lean,M-R1,lean,M4@50,50,3,4,0.0,46,0.0,3973,0.0,2453.67,48.18,0,0.0,114080.67,3.06,48240.67,3.06
M-R2-fat,M-R2,fat,M1@1,1,3,4,0.0,2,0.0,6823.33,1.53,249.67,1.15,0,0.0,0,0.0,1042.67,0.58
M-R2-fat,M-R2,fat,M1@5,5,3,5,0.0,3,0.0,5654.33,1.15,425.67,0.58,0,0.0,6937.33,1.15,4204,0.0
M-R2-fat,M-R2,fat,M1@20,20,3,5.33,0.58,3.33,0.58,5904.67,2.89,960.67,61.81,0,0.0,24827,6536.76,17227.67,2105.6
M-R2-fat,M-R2,fat,M1@50,50,3,5,0.0,3,0.0,6407.67,8.08,1927.67,222.22,0,0.0,49451.67,1.15,39785.67,2.31
M-R2-fat,M-R2,fat,M2@1,1,3,4.33,0.58,5.33,0.58,4070.67,3865.36,749.33,22.23,0,0.0,19441,11085.13,8575,4091.97
M-R2-fat,M-R2,fat,M3@5,5,3,7,0.0,9.33,7.51,1860,0.0,1619.33,408.86,0,0.0,64625,2657.85,17564,651.25
M-R2-fat,M-R2,fat,M3@20,20,3,11.67,1.15,10.33,2.31,4978.67,5107.24,3972,423.51,0,0.0,386340.33,102916.27,70529.33,4959.79
M-R2-fat,M-R2,fat,M3@50,50,3,10.67,0.58,10,2.65,5000.67,4630.06,6891,1591.55,0,0.0,708111.67,172156.9,152827.67,5316.8
M-R2-fat,M-R2,fat,M4@20,20,3,6.67,2.31,22.67,2.31,1782.33,11.55,1936,299.65,0,0.0,104746.67,49964.18,19957,263.3
M-R2-fat,M-R2,fat,M4@50,50,3,31.33,3.51,45.33,3.51,1905.67,17.56,4182,300.21,0,0.0,1674427.67,221403.6,48769,527.29
M-R2-lean,M-R2,lean,M1@1,1,3,4,0.0,2,0.0,6822,0.0,246.33,4.62,0,0.0,0,0.0,1042,0.0
M-R2-lean,M-R2,lean,M1@5,5,3,5,0.0,3,0.0,5655,0.0,426,0.0,0,0.0,6939,0.0,4205,0.0
M-R2-lean,M-R2,lean,M1@20,20,3,5.67,0.58,3.67,0.58,5906.33,2.89,974.33,44.56,0,0.0,23140,8391.45,13833,7172.2
M-R2-lean,M-R2,lean,M1@50,50,3,5.33,0.58,3.33,0.58,6414,9.85,1955.33,194.07,0,0.0,39541,17159.43,29410.33,17969.45
M-R2-lean,M-R2,lean,M2@1,1,3,5.33,0.58,6.33,0.58,9692.33,2008.89,795.67,46.52,0,0.0,6729.33,179.0,3908.33,98.45
M-R2-lean,M-R2,lean,M3@5,5,3,8,1.73,19,1.73,1865,8.66,2257.67,256.64,0,0.0,84767,29653.58,19035.33,1239.86
M-R2-lean,M-R2,lean,M3@20,20,3,9.67,2.31,7.67,2.31,2023.33,11.55,3612,426.98,0,0.0,310139.67,99406.71,61485.33,9979.77
M-R2-lean,M-R2,lean,M3@50,50,3,13.33,4.16,11,3.61,2340,18.03,6670,2761.37,0,0.0,1039906,212190.12,186155.67,51061.27
M-R2-lean,M-R2,lean,M4@20,20,3,8,0.0,24,0.0,1789,0.0,2129.67,15.31,0,0.0,133596.33,1.53,20111,2.0
M-R2-lean,M-R2,lean,M4@50,50,3,30.33,4.04,44.33,4.04,1900.67,20.21,4093.33,329.67,0,0.0,1611315.33,253684.53,48627.33,732.37
M-G1,M-G1,,M1@1,1,3,7,1.73,5,1.73,6694.33,1488.41,474,136.89,0,0.0,16895,13182.64,3597,2118.3
M-G1,M-G1,,M1@5,5,3,8.33,3.06,6.33,3.06,5132.33,1464.75,841,316.88,0,0.0,28146,11913.53,4807.67,2306.69
M-G1,M-G1,,M1@20,20,3,5,0.0,3.67,0.58,3864.67,0.58,1092,27.71,0,0.0,15748,117.78,5271,13.86
M-G1,M-G1,,M1@50,50,3,5,0.0,3,0.0,4395.67,0.58,2134.33,4.62,0,0.0,17350,5.2,6153,0.0
M-G1,M-G1,,M2@1,1,3,7.67,0.58,7,1.0,5655.67,1228.45,895.67,49.22,0,0.0,31272.33,4376.49,5701.67,1023.79
M-G1,M-G1,,M3@5,5,3,6.33,0.58,11,2.65,4691.67,2.89,1866.33,320.88,0,0.0,30593.67,5400.09,6440.33,42.9
M-G1,M-G1,,M3@20,20,3,6,0.0,5,0.0,3803,0.0,2075,51.22,0,0.0,27040.33,7.23,8456,0.0
M-G1,M-G1,,M3@50,50,3,7,0.0,7,0.0,5289.33,73.32,3218,1564.86,0,0.0,46124.33,288.1,14684,58.89
M-G1,M-G1,,M4@20,20,3,8.33,1.15,7,0.0,5797.33,3.06,754.33,20.5,0,0.0,27902.67,652.78,5063.33,1869.46
M-G1,M-G1,,M4@50,50,3,6,0.0,9,0.0,6572,0.0,839.33,9.81,0,0.0,22411,0.0,8536,0.0
M-G2,M-G2,,M1@1,1,3,3,0.0,1,0.0,4095,0.0,109.33,1.53,0,0.0,0,0.0,103,0.0
M-G2,M-G2,,M1@5,5,3,3,0.0,1,0.0,4611,0.0,247,0.0,0,0.0,0,0.0,478,0.0
M-G2,M-G2,,M1@20,20,3,3,0.0,1,0.0,2205,0.0,720.67,11.55,0,0.0,4268,0.0,1878,0.0
M-G2,M-G2,,M1@50,50,3,3,0.0,1,0.0,2455,0.0,1616,1.73,0,0.0,7737,0.0,4681,0.0
M-G2,M-G2,,M2@1,1,3,3,0.0,2,0.0,5086,0.0,346.33,3.06,0,0.0,0,0.0,884,0.0
M-G2,M-G2,,M3@5,5,3,3.33,0.58,10,0.0,2078.67,2.89,1024.33,26.76,0,0.0,9659.67,3731.99,4465,0.0
M-G2,M-G2,,M3@20,20,3,4,0.0,40,0.0,2232,0.0,3290.33,126.18,0,0.0,43270.33,4.04,17831,0.0
M-G2,M-G2,,M3@50,50,3,44,0.0,100,0.0,2732,0.0,8624.33,202.44,0,0.0,2205403,0.0,44461,0.0
M-G2,M-G2,,M4@20,20,3,4,0.0,21,0.0,5888,1.73,1197,6.08,0,0.0,9118.67,1.15,5055,0.0
M-G2,M-G2,,M4@50,50,3,4,0.0,51,0.0,2006,0.0,2601,3.61,0,0.0,26719,0.0,12746,0.0
